Wall time,Step,Value
1724576912.391686,2048,-489.10772705078125
1724576917.514899,4096,-392.8824768066406
1724576922.5181491,6144,-389.9199523925781
1724576927.499236,8192,-369.1979064941406
1724576932.544532,10240,-390.830810546875
1724576937.664163,12288,-384.8616027832031
1724576942.698379,14336,-371.3493347167969
1724576947.79196,16384,-381.5504150390625
1724576952.856182,18432,-342.6350402832031
1724576957.901952,20480,-338.08514404296875
1724576963.165527,22528,-344.4654541015625
1724576968.399173,24576,-336.16741943359375
1724576973.57165,26624,-317.39703369140625
1724576978.870901,28672,-321.3192443847656
1724576984.078718,30720,-314.1248779296875
1724576989.385847,32768,-298.046630859375
1724576994.666259,34816,-292.41070556640625
1724576999.9924102,36864,-294.0964050292969
1724577005.334265,38912,-288.352294921875
1724577010.673197,40960,-289.11962890625
1724577016.111125,43008,-258.6816101074219
1724577021.4644659,45056,-258.1827697753906
1724577026.92004,47104,-240.14437866210938
1724577032.353864,49152,-191.82217407226562
1724577037.856284,51200,-188.66720581054688
1724577043.3101618,53248,-188.87081909179688
1724577049.028067,55296,-164.1244659423828
1724577054.414007,57344,-169.54437255859375
1724577059.822847,59392,-150.91464233398438
1724577065.213574,61440,-129.3121337890625
1724577070.678991,63488,-128.39373779296875
1724577076.0895932,65536,-90.55055236816406
1724577081.5630012,67584,-86.67671966552734
1724577087.085485,69632,-65.80262756347656
1724577092.596339,71680,-54.022151947021484
1724577098.0626822,73728,-48.932716369628906
1724577103.757832,75776,-38.499752044677734
1724577109.231912,77824,-28.159687042236328
1724577114.834846,79872,-20.048622131347656
1724577120.301327,81920,-31.187705993652344
1724577125.8782458,83968,-34.61519241333008
1724577131.42816,86016,-30.70409393310547
1724577137.0185878,88064,-8.371594429016113
1724577142.5096378,90112,-9.238813400268555
1724577148.059184,92160,-13.445778846740723
1724577153.695928,94208,-22.716814041137695
1724577159.3542368,96256,-25.35719108581543
1724577164.9834251,98304,-10.217085838317871
1724577170.5457652,100352,-26.23029899597168
1724577176.2695758,102400,-23.72855567932129
1724577182.03267,104448,-27.334741592407227
1724577187.7320268,106496,-26.514564514160156
1724577193.365136,108544,-38.1892204284668
1724577199.0243971,110592,-30.01289176940918
1724577204.9164102,112640,-34.30524826049805
1724577210.60779,114688,-38.02204895019531
1724577216.172856,116736,-23.516002655029297
1724577222.003049,118784,-21.826404571533203
1724577227.6595788,120832,-9.770556449890137
1724577233.3076081,122880,-19.948863983154297
1724577239.1010938,124928,-18.664575576782227
1724577245.0332842,126976,-28.52992057800293
1724577250.860509,129024,-16.994552612304688
1724577256.56027,131072,0.859211266040802
1724577262.342595,133120,-1.7012126445770264
1724577268.0660741,135168,-19.084514617919922
1724577273.850785,137216,-0.71968674659729
1724577279.717691,139264,7.198371410369873
1724577285.531137,141312,-3.1809134483337402
1724577291.218624,143360,-7.608842849731445
1724577297.151955,145408,0.050893671810626984
1724577302.94299,147456,14.020846366882324
1724577308.878686,149504,21.761131286621094
1724577315.548278,151552,12.62561321258545
1724577321.914836,153600,-4.312653064727783
1724577327.506217,155648,-8.604339599609375
1724577333.0916831,157696,-18.836816787719727
1724577338.541974,159744,-23.112852096557617
1724577344.162379,161792,-24.079360961914062
1724577349.79389,163840,-3.107884645462036
1724577355.341036,165888,-16.9687442779541
1724577360.8716958,167936,-15.393478393554688
1724577366.48684,169984,-20.28330421447754
1724577372.0450509,172032,5.887552261352539
1724577377.5331469,174080,-0.9468067288398743
1724577383.087144,176128,-10.615509986877441
1724577388.53791,178176,-17.03327751159668
1724577393.9248729,180224,-16.11534881591797
1724577399.353607,182272,-4.1759796142578125
1724577404.852101,184320,-2.5452659130096436
1724577410.363234,186368,7.385056495666504
1724577415.881898,188416,6.0222392082214355
1724577421.343082,190464,6.161458969116211
1724577426.850521,192512,31.894285202026367
1724577432.3323789,194560,25.7197322845459
1724577437.950602,196608,36.999202728271484
1724577443.564168,198656,28.087520599365234
1724577449.074709,200704,27.796022415161133
1724577454.564605,202752,28.10628890991211
1724577460.128523,204800,26.777761459350586
1724577465.601435,206848,19.4659481048584
1724577471.165955,208896,6.828316688537598
1724577478.883322,210944,12.02803897857666
1724577485.6083899,212992,4.519836902618408
1724577491.471034,215040,10.2333402633667
1724577497.031163,217088,-1.6310067176818848
1724577502.516474,219136,-11.332974433898926
1724577508.322859,221184,-14.888690948486328
1724577514.000088,223232,-20.601795196533203
1724577519.6097841,225280,-32.196990966796875
1724577525.269703,227328,-43.968753814697266
1724577530.9328918,229376,-39.43846130371094
1724577536.4694731,231424,-31.39750862121582
1724577542.0345442,233472,-52.89270782470703
1724577547.610868,235520,-49.94688034057617
1724577553.183488,237568,-52.65762710571289
1724577558.800947,239616,-52.929344177246094
1724577564.448637,241664,-52.43381881713867
1724577570.107785,243712,-46.49530792236328
1724577575.7537122,245760,-44.317508697509766
1724577581.496167,247808,-42.35495376586914
1724577587.198478,249856,-29.490306854248047
1724577593.000391,251904,-16.21837043762207
