Wall time,Step,Value
1724584065.9999008,2048,-493.718017578125
1724584072.578851,4096,-491.46466064453125
1724584078.38733,6144,-490.9125061035156
1724584083.805714,8192,-491.37127685546875
1724584089.104637,10240,-491.7547607421875
1724584095.753888,12288,-465.5040283203125
1724584106.5991092,14336,-437.5132141113281
1724584115.263037,16384,-396.10711669921875
1724584121.74927,18432,-372.2969970703125
1724584128.008218,20480,-351.7543640136719
1724584134.2977111,22528,-346.66387939453125
1724584142.991352,24576,-351.3140563964844
1724584150.074682,26624,-343.7183532714844
1724584156.557303,28672,-347.1156311035156
1724584162.255221,30720,-350.37744140625
1724584167.453675,32768,-343.7271423339844
1724584172.8541,34816,-339.69854736328125
1724584177.9621902,36864,-325.4666442871094
1724584183.160386,38912,-327.41339111328125
1724584188.330345,40960,-321.2095031738281
1724584193.578409,43008,-308.4567565917969
1724584198.8806589,45056,-293.87054443359375
1724584204.2342021,47104,-279.6650085449219
1724584209.526002,49152,-258.4175109863281
1724584214.954945,51200,-242.37049865722656
1724584220.446264,53248,-234.59872436523438
1724584226.51749,55296,-224.72422790527344
1724584232.870085,57344,-224.7398681640625
1724584239.744009,59392,-208.2322998046875
1724584246.502144,61440,-197.98037719726562
1724584252.377146,63488,-188.7085723876953
1724584258.238483,65536,-144.19509887695312
1724584263.97521,67584,-132.8282928466797
1724584270.1552708,69632,-116.20964813232422
1724584276.290703,71680,-94.8193359375
1724584282.114816,73728,-87.20482635498047
1724584288.218658,75776,-87.11656188964844
1724584294.300846,77824,-80.20821380615234
1724584300.053181,79872,-67.47699737548828
1724584306.132869,81920,-75.9459457397461
1724584312.0496461,83968,-84.60313415527344
1724584318.026099,86016,-65.47627258300781
1724584324.275606,88064,-48.379642486572266
1724584330.21912,90112,-49.120967864990234
1724584336.1585028,92160,-39.343711853027344
1724584341.9710631,94208,-43.33982849121094
1724584347.658614,96256,-40.29952621459961
1724584353.740641,98304,-38.178932189941406
1724584359.6000571,100352,-34.025779724121094
1724584365.904588,102400,-42.719078063964844
1724584371.812875,104448,-52.14662551879883
1724584378.359534,106496,-66.69717407226562
1724584384.590135,108544,-60.06203079223633
1724584390.5369961,110592,-58.957725524902344
1724584396.71553,112640,-63.95932388305664
1724584402.788671,114688,-67.65253448486328
1724584409.004192,116736,-62.87630844116211
1724584415.1833348,118784,-68.46273040771484
1724584421.4640782,120832,-56.72460174560547
1724584427.310305,122880,-36.63801956176758
1724584433.432513,124928,-47.12833023071289
1724584439.441456,126976,-56.42412185668945
1724584445.3354461,129024,-50.46635437011719
1724584451.787116,131072,-50.17808532714844
1724584458.2025669,133120,-47.67055130004883
1724584465.8178382,135168,-41.371826171875
1724584472.19008,137216,-37.94342041015625
1724584478.624516,139264,-40.3615608215332
1724584484.823953,141312,-44.70578384399414
1724584491.2775218,143360,-49.107418060302734
1724584497.313879,145408,-40.173797607421875
1724584503.783255,147456,-45.509769439697266
1724584510.385299,149504,-44.09853744506836
1724584516.874971,151552,-29.649187088012695
1724584523.060689,153600,-19.277782440185547
1724584529.577279,155648,-5.271165370941162
1724584535.7153568,157696,-7.98073148727417
1724584541.982944,159744,-13.586393356323242
1724584548.097054,161792,-28.191438674926758
1724584553.97022,163840,-27.97126007080078
1724584559.7291331,165888,-23.564218521118164
1724584565.772,167936,-28.34242057800293
1724584571.706059,169984,-28.998056411743164
1724584578.272185,172032,-33.26345443725586
1724584584.6051788,174080,-29.621152877807617
1724584591.033428,176128,-41.25904083251953
1724584597.401084,178176,-45.79042434692383
1724584603.4812648,180224,-41.015525817871094
1724584609.419811,182272,-31.303438186645508
1724584615.788051,184320,-25.781782150268555
1724584621.940314,186368,-27.293792724609375
1724584628.1062799,188416,-27.822664260864258
1724584634.112897,190464,-28.522340774536133
1724584640.268676,192512,-29.243194580078125
1724584646.5942771,194560,-38.19637680053711
1724584653.1544151,196608,-43.90947341918945
1724584659.4003022,198656,-26.78291130065918
1724584665.723558,200704,-22.56125259399414
1724584672.456279,202752,-16.845474243164062
1724584678.608651,204800,-4.226319789886475
1724584685.0373352,206848,-3.9359090328216553
1724584691.2480261,208896,-12.363814353942871
1724584697.483535,210944,-13.744926452636719
1724584703.89904,212992,-19.158884048461914
1724584710.0683572,215040,-5.451038837432861
1724584716.231333,217088,-10.742378234863281
1724584722.37753,219136,-23.288345336914062
1724584728.527902,221184,-16.745363235473633
1724584734.5092192,223232,-13.310402870178223
1724584740.398582,225280,-6.009436130523682
1724584747.187882,227328,-1.4702926874160767
1724584753.861415,229376,-11.146378517150879
1724584759.744021,231424,-4.372888088226318
1724584767.696834,233472,-3.9550981521606445
1724584774.172601,235520,1.2834506034851074
1724584780.094456,237568,-3.614875078201294
1724584786.447656,239616,-1.3098413944244385
1724584792.545048,241664,-5.90180778503418
1724584798.5494819,243712,-13.06545639038086
1724584804.85896,245760,-1.4782344102859497
1724584810.811119,247808,-2.799328565597534
1724584816.811792,249856,8.858003616333008
1724584822.816131,251904,9.862813949584961
