Wall time,Step,Value
1724572156.696467,2048,-282.0617370605469
1724572162.226634,4096,-387.4888916015625
1724572167.586252,6144,-425.0133361816406
1724572173.74703,8192,-295.21038818359375
1724572179.523274,10240,-295.0457763671875
1724572184.956486,12288,-322.2915954589844
1724572189.877001,14336,-346.4813232421875
1724572196.442104,16384,-361.7933654785156
1724572203.057903,18432,-355.84100341796875
1724572208.4632041,20480,-367.60211181640625
1724572214.1214988,22528,-318.9516906738281
1724572219.493991,24576,-318.63311767578125
1724572224.668782,26624,-318.7044372558594
1724572229.798618,28672,-262.6674499511719
1724572235.921234,30720,-273.7009582519531
1724572241.712202,32768,-255.64646911621094
1724572247.913298,34816,-265.205078125
1724572253.533773,36864,-259.1491394042969
1724572259.602209,38912,-260.1997375488281
1724572264.69591,40960,-257.32489013671875
1724572269.174318,43008,-239.66981506347656
1724572273.645644,45056,-228.38690185546875
1724572278.225719,47104,-227.5410919189453
1724572282.806302,49152,-236.92893981933594
1724572287.4166431,51200,-242.89743041992188
1724572292.0633888,53248,-233.9167022705078
1724572297.053022,55296,-219.95729064941406
1724572301.7201831,57344,-211.91111755371094
1724572306.4980721,59392,-195.4387664794922
1724572312.616565,61440,-206.458740234375
1724572318.936279,63488,-205.15069580078125
1724572325.836561,65536,-209.17025756835938
1724572332.904542,67584,-207.69789123535156
1724572341.2698119,69632,-207.87704467773438
1724572348.723657,71680,-196.2847137451172
1724572355.8925388,73728,-199.44436645507812
1724572362.707814,75776,-211.04714965820312
1724572369.563322,77824,-194.94993591308594
1724572377.507514,79872,-191.8053741455078
1724572383.313953,81920,-194.01797485351562
1724572388.853206,83968,-186.5261993408203
1724572394.566891,86016,-196.10887145996094
1724572401.446986,88064,-179.6751251220703
1724572407.3185122,90112,-180.6253662109375
1724572413.572362,92160,-173.2450408935547
1724572419.2893472,94208,-167.22328186035156
1724572424.864059,96256,-157.98033142089844
1724572430.841033,98304,-154.19410705566406
1724572436.812842,100352,-149.39761352539062
1724572442.704057,102400,-153.73049926757812
1724572447.761434,104448,-141.4990997314453
1724572452.737924,106496,-153.0106201171875
1724572457.6507149,108544,-145.79135131835938
1724572462.4955862,110592,-150.435302734375
1724572467.325014,112640,-144.7449493408203
1724572472.2253141,114688,-154.47793579101562
1724572477.097385,116736,-142.24278259277344
1724572481.993709,118784,-131.72030639648438
1724572486.9633338,120832,-126.913330078125
1724572491.876865,122880,-122.87928771972656
1724572496.8258939,124928,-126.95736694335938
1724572501.805708,126976,-124.2806396484375
1724572506.78096,129024,-120.97259521484375
1724572511.7242692,131072,-118.90660858154297
1724572516.694756,133120,-86.13050842285156
1724572522.0130298,135168,-62.283538818359375
1724572529.07424,137216,-53.70224380493164
1724572535.4310331,139264,-51.01069259643555
1724572541.401958,141312,-29.58757781982422
1724572546.773868,143360,-26.21411895751953
1724572552.2308412,145408,-24.760066986083984
1724572557.6491961,147456,-23.275611877441406
1724572563.025376,149504,-15.9241304397583
1724572568.457412,151552,-8.080365180969238
1724572574.0831842,153600,-9.26772689819336
1724572581.144215,155648,-0.3038785755634308
1724572587.517306,157696,-0.6958516240119934
1724572593.780502,159744,7.334977149963379
1724572603.949049,161792,16.32362937927246
1724572611.032568,163840,18.329307556152344
1724572617.851865,165888,22.36844825744629
1724572624.244499,167936,21.429611206054688
1724572631.005336,169984,16.69081687927246
1724572637.7231958,172032,12.128342628479004
1724572644.4462001,174080,7.5098161697387695
1724572652.640631,176128,0.18469606339931488
1724572659.281594,178176,8.754951477050781
1724572665.547617,180224,9.79273796081543
1724572671.803832,182272,26.149465560913086
1724572678.516715,184320,26.767906188964844
1724572684.46048,186368,35.297828674316406
1724572690.6032588,188416,35.457122802734375
1724572696.076628,190464,30.47992515563965
1724572701.900112,192512,41.58980941772461
1724572710.069227,194560,42.710792541503906
1724572717.6399932,196608,35.30915069580078
1724572724.192245,198656,21.178369522094727
1724572729.895343,200704,26.343746185302734
1724572735.642379,202752,25.28919792175293
1724572744.0298948,204800,21.08549690246582
1724572750.0781271,206848,8.047425270080566
1724572755.875566,208896,12.9461669921875
1724572761.711055,210944,-1.2652733325958252
1724572767.9081862,212992,6.031475067138672
1724572774.618079,215040,16.56941032409668
1724572781.395752,217088,-2.701615571975708
1724572787.657145,219136,-2.356267213821411
1724572793.049311,221184,-4.579538345336914
1724572799.1060202,223232,-7.890889644622803
1724572806.330763,225280,-9.56309986114502
1724572812.3529558,227328,0.11202321946620941
1724572817.9040608,229376,-1.540499210357666
1724572825.112938,231424,-6.532434463500977
1724572832.583478,233472,-7.248281478881836
1724572838.128015,235520,-0.3557516932487488
1724572843.411508,237568,0.7672082185745239
1724572848.86873,239616,7.413684844970703
1724572854.3833432,241664,1.8781453371047974
1724572859.779378,243712,0.17669697105884552
1724572865.588219,245760,13.64008617401123
1724572872.404407,247808,23.044347763061523
1724572879.1213892,249856,30.504962921142578
1724572885.423945,251904,29.105085372924805
