Wall time,Step,Value
1724581549.7187278,2048,-106.30598449707031
1724581555.346665,4096,-296.3705749511719
1724581560.584343,6144,-352.7972717285156
1724581566.228935,8192,-382.48651123046875
1724581571.817861,10240,-401.0247497558594
1724581577.272098,12288,-356.9283142089844
1724581582.7167842,14336,-372.33349609375
1724581587.9752169,16384,-380.7039794921875
1724581593.495312,18432,-344.5924987792969
1724581598.6627991,20480,-301.7593688964844
1724581603.9111218,22528,-282.5194396972656
1724581609.130412,24576,-291.5507507324219
1724581614.318091,26624,-287.0318603515625
1724581619.733013,28672,-281.4933166503906
1724581624.7307992,30720,-258.3326110839844
1724581629.7728791,32768,-254.9998321533203
1724581635.161931,34816,-236.69703674316406
1724581640.4369762,36864,-235.0365447998047
1724581645.835414,38912,-210.04354858398438
1724581651.495455,40960,-200.2664337158203
1724581657.4529479,43008,-194.04664611816406
1724581665.024122,45056,-187.64559936523438
1724581670.428278,47104,-181.77798461914062
1724581675.629998,49152,-153.4239959716797
1724581680.730002,51200,-133.4490203857422
1724581685.9722822,53248,-104.04683685302734
1724581691.207783,55296,-97.390380859375
1724581696.44142,57344,-98.79755401611328
1724581701.681767,59392,-99.55021667480469
1724581707.037817,61440,-110.44627380371094
1724581712.2870872,63488,-95.30133056640625
1724581717.583669,65536,-86.29116821289062
1724581722.8217652,67584,-88.06649017333984
1724581728.039765,69632,-86.89869689941406
1724581733.427361,71680,-67.7977523803711
1724581738.6421409,73728,-59.37349319458008
1724581744.017518,75776,-31.347070693969727
1724581749.443398,77824,-27.15267562866211
1724581754.7920551,79872,-31.89004135131836
1724581760.365546,81920,-8.125179290771484
1724581765.942823,83968,-2.7001590728759766
1724581771.29772,86016,-1.2682019472122192
1724581776.588629,88064,-5.4065680503845215
1724581781.985079,90112,-18.96619415283203
1724581787.3266182,92160,-23.24934196472168
1724581792.726431,94208,-6.426433563232422
1724581798.204649,96256,-10.542513847351074
1724581803.7191958,98304,-5.268854141235352
1724581809.073279,100352,-16.790864944458008
1724581814.533841,102400,-2.287382125854492
1724581819.974574,104448,7.6842265129089355
1724581825.427927,106496,45.17782211303711
1724581830.938367,108544,33.138736724853516
1724581836.418845,110592,20.647232055664062
1724581842.0884988,112640,16.719575881958008
1724581847.595894,114688,13.7168550491333
1724581853.098688,116736,10.6987886428833
1724581858.5751848,118784,17.274097442626953
1724581864.23374,120832,16.502788543701172
1724581869.752339,122880,19.68921661376953
1724581875.269723,124928,28.93537139892578
1724581880.6985102,126976,29.858463287353516
1724581886.3203259,129024,35.66272735595703
1724581891.753323,131072,24.21912956237793
1724581897.235282,133120,31.938241958618164
1724581902.605537,135168,52.678688049316406
1724581908.0831969,137216,68.48094940185547
1724581913.687716,139264,66.41704559326172
1724581919.319062,141312,46.905113220214844
1724581924.9567611,143360,29.406688690185547
1724581930.513684,145408,24.933368682861328
1724581936.135124,147456,45.744998931884766
1724581942.001172,149504,48.859031677246094
1724581947.671117,151552,56.942474365234375
1724581953.196424,153600,64.27413940429688
1724581958.7057521,155648,52.52504348754883
1724581964.300917,157696,66.54407501220703
1724581970.005428,159744,59.68879699707031
1724581975.726044,161792,59.34548568725586
1724581981.481772,163840,61.60599136352539
1724581987.3152409,165888,73.43220520019531
1724581993.193574,167936,77.2043685913086
1724581999.010601,169984,70.94888305664062
1724582004.947207,172032,65.48526763916016
1724582010.806998,174080,67.46834564208984
1724582016.55132,176128,56.091793060302734
1724582022.333245,178176,62.75657272338867
1724582028.0837948,180224,62.40517044067383
1724582033.861683,182272,55.345916748046875
1724582039.584878,184320,49.085269927978516
1724582045.264385,186368,41.61507034301758
1724582050.975991,188416,29.091018676757812
1724582056.584007,190464,35.35429763793945
1724582062.377533,192512,23.204191207885742
1724582068.099835,194560,10.640924453735352
1724582073.938093,196608,5.633209705352783
1724582079.648285,198656,15.622669219970703
1724582085.255096,200704,33.43033981323242
1724582090.966996,202752,20.501310348510742
1724582096.630193,204800,16.736473083496094
1724582102.2764,206848,9.297552108764648
1724582108.053977,208896,10.484339714050293
1724582113.7826402,210944,3.9721662998199463
1724582119.5190861,212992,4.07246732711792
1724582125.336992,215040,11.095267295837402
1724582131.0328991,217088,4.877241134643555
1724582136.825066,219136,-3.6134841442108154
1724582142.6252851,221184,-10.016027450561523
1724582148.368736,223232,-11.40274715423584
1724582154.1994932,225280,1.506482720375061
1724582159.9777122,227328,-2.1784470081329346
1724582165.7265248,229376,-7.368621826171875
1724582171.4117372,231424,1.3843597173690796
1724582177.1542678,233472,21.2674503326416
1724582183.22276,235520,14.186875343322754
1724582189.0764952,237568,13.537991523742676
1724582194.8043158,239616,7.342023849487305
1724582200.581176,241664,1.5400731563568115
1724582206.323534,243712,14.20845890045166
1724582212.0617988,245760,7.473735809326172
1724582217.9307048,247808,14.183290481567383
1724582223.78602,249856,14.608193397521973
1724582229.544211,251904,19.28895378112793
