Wall time,Step,Value
1724580032.966629,2048,-296.60650634765625
1724580038.1505961,4096,-380.22998046875
1724580043.211,6144,-350.6482849121094
1724580048.224663,8192,-380.6298828125
1724580053.38587,10240,-398.7969055175781
1724580058.528386,12288,-347.76580810546875
1724580063.6774242,14336,-321.9668884277344
1724580068.714134,16384,-317.0415954589844
1724580073.740554,18432,-312.61932373046875
1724580078.8757062,20480,-309.4859619140625
1724580084.00673,22528,-320.1518859863281
1724580089.15629,24576,-328.18194580078125
1724580094.2808661,26624,-334.9000549316406
1724580099.463917,28672,-291.8933410644531
1724580104.712865,30720,-267.5513916015625
1724580109.901858,32768,-258.25616455078125
1724580115.172875,34816,-230.5063934326172
1724580120.28064,36864,-222.52772521972656
1724580125.539563,38912,-229.8733367919922
1724580130.729557,40960,-224.2058868408203
1724580135.922522,43008,-219.90440368652344
1724580141.286363,45056,-205.23687744140625
1724580146.550122,47104,-152.33119201660156
1724580151.760951,49152,-146.0316162109375
1724580156.992927,51200,-144.4540557861328
1724580162.303173,53248,-137.83648681640625
1724580167.578712,55296,-132.23475646972656
1724580172.905748,57344,-125.64554595947266
1724580178.3155122,59392,-120.29696655273438
1724580183.7515361,61440,-105.07770538330078
1724580189.0865338,63488,-91.11121368408203
1724580194.570637,65536,-88.51004028320312
1724580200.101056,67584,-105.40775299072266
1724580205.6309319,69632,-105.36659240722656
1724580211.059809,71680,-101.23683166503906
1724580216.554867,73728,-94.80779266357422
1724580222.07889,75776,-95.39942169189453
1724580227.6778371,77824,-88.7265396118164
1724580233.4120052,79872,-90.19124603271484
1724580238.940972,81920,-73.14671325683594
1724580244.499586,83968,-58.156333923339844
1724580250.2184792,86016,-70.39776611328125
1724580255.8855581,88064,-74.74353790283203
1724580261.665094,90112,-71.33061981201172
1724580267.445413,92160,-66.64458465576172
1724580273.4519942,94208,-68.72303771972656
1724580279.4001548,96256,-47.52789306640625
1724580285.2266529,98304,-42.077510833740234
1724580291.220831,100352,-38.52116775512695
1724580297.208211,102400,-40.4572639465332
1724580302.94542,104448,-33.603267669677734
1724580308.9357069,106496,-30.661134719848633
1724580314.8360372,108544,-28.392946243286133
1724580320.843016,110592,-28.080909729003906
1724580326.992044,112640,-24.53832244873047
1724580333.06587,114688,-10.311114311218262
1724580339.251637,116736,-2.1551833152770996
1724580345.298474,118784,-7.581355094909668
1724580351.72209,120832,-11.301301956176758
1724580358.028661,122880,-11.811042785644531
1724580364.0942469,124928,-16.758312225341797
1724580370.254912,126976,-0.6927077770233154
1724580376.2758899,129024,-3.571159839630127
1724580382.3720262,131072,11.413609504699707
1724580388.5902998,133120,10.598708152770996
1724580394.893743,135168,18.930959701538086
1724580400.968321,137216,32.08421325683594
1724580406.916246,139264,28.2360897064209
1724580413.047904,141312,28.982236862182617
1724580419.059081,143360,22.35564422607422
1724580425.170429,145408,25.402135848999023
1724580431.439641,147456,23.85626220703125
1724580437.683423,149504,22.1678524017334
1724580443.900126,151552,24.65462875366211
1724580450.270456,153600,31.93528175354004
1724580456.357823,155648,33.0055046081543
1724580462.782305,157696,39.84293746948242
1724580469.065807,159744,28.77589988708496
1724580475.435562,161792,64.1869888305664
1724580481.6796532,163840,75.73015594482422
1724580487.9358568,165888,77.29193115234375
1724580494.169716,167936,83.3252944946289
1724580500.395527,169984,72.05474090576172
1724580506.8634639,172032,66.59156799316406
1724580513.265305,174080,78.88484191894531
1724580519.572209,176128,75.2533950805664
1724580526.039315,178176,94.46923828125
1724580532.53196,180224,92.82572174072266
1724580539.0791109,182272,88.62033081054688
1724580545.462621,184320,81.64961242675781
1724580551.871495,186368,89.13981628417969
1724580558.41029,188416,87.92772674560547
1724580564.912537,190464,83.13650512695312
1724580571.503378,192512,89.18709564208984
1724580578.001193,194560,101.70851135253906
1724580584.6620831,196608,84.21446990966797
1724580591.1484742,198656,70.93890380859375
1724580597.4494069,200704,64.90699005126953
1724580603.944389,202752,54.311767578125
1724580610.469714,204800,48.84404754638672
1724580617.100686,206848,55.729034423828125
1724580623.75367,208896,53.23740768432617
1724580630.175436,210944,50.73086929321289
1724580636.7445319,212992,61.35040283203125
1724580643.290849,215040,44.12379837036133
1724580650.693262,217088,57.665069580078125
1724580657.19831,219136,53.19702911376953
1724580663.4635022,221184,48.17073059082031
1724580669.791144,223232,40.17826461791992
1724580676.243008,225280,35.95854187011719
1724580682.587009,227328,36.65618133544922
1724580688.784241,229376,23.233354568481445
1724580695.088639,231424,19.777687072753906
1724580701.4074712,233472,5.899119853973389
1724580707.795985,235520,-7.15932035446167
1724580714.07015,237568,-7.087268829345703
1724580720.2786188,239616,-13.3722562789917
1724580726.728755,241664,-18.257619857788086
1724580733.090198,243712,-13.952041625976562
1724580739.4504461,245760,-12.711507797241211
1724580745.9712691,247808,-13.147624015808105
1724580752.189385,249856,-5.691782474517822
1724580758.505041,251904,-11.483457565307617
