Wall time,Step,Value
1724579225.5640519,2048,-493.718017578125
1724579230.529631,4096,-491.46466064453125
1724579235.520648,6144,-490.9125061035156
1724579240.5935402,8192,-491.37127685546875
1724579245.638259,10240,-491.7547607421875
1724579250.727404,12288,-463.4206848144531
1724579255.7043872,14336,-431.2594299316406
1724579260.769562,16384,-383.7079772949219
1724579265.855347,18432,-357.36370849609375
1724579271.0191228,20480,-335.4682312011719
1724579276.121705,22528,-331.1513977050781
1724579281.376448,24576,-337.9922180175781
1724579286.538794,26624,-344.6415100097656
1724579291.758531,28672,-349.9685363769531
1724579296.895704,30720,-354.30810546875
1724579302.32102,32768,-334.248779296875
1724579307.640589,34816,-336.3493957519531
1724579313.036555,36864,-327.448486328125
1724579318.3530471,38912,-319.4898986816406
1724579323.725425,40960,-311.9454650878906
1724579329.1381462,43008,-297.41864013671875
1724579334.765595,45056,-286.37139892578125
1724579340.344049,47104,-270.8240661621094
1724579345.9519281,49152,-252.8097381591797
1724579351.5719738,51200,-239.3206329345703
1724579357.253721,53248,-230.51361083984375
1724579362.939892,55296,-228.81637573242188
1724579368.7843242,57344,-230.46066284179688
1724579374.547692,59392,-218.24205017089844
1724579380.2679691,61440,-215.41395568847656
1724579386.1284611,63488,-201.9390411376953
1724579391.9698591,65536,-201.8332061767578
1724579397.6578639,67584,-186.54623413085938
1724579403.387269,69632,-179.7828826904297
1724579408.98057,71680,-156.9353790283203
1724579414.816818,73728,-140.82537841796875
1724579420.37745,75776,-136.18833923339844
1724579426.429111,77824,-121.70587158203125
1724579432.4385438,79872,-115.99092864990234
1724579438.391794,81920,-104.93806457519531
1724579444.296104,83968,-93.19024658203125
1724579450.419769,86016,-83.16690063476562
1724579456.18724,88064,-61.01890182495117
1724579462.104012,90112,-50.630775451660156
1724579467.7129111,92160,-39.16033935546875
1724579473.7597198,94208,-24.595199584960938
1724579479.921159,96256,-12.822831153869629
1724579486.215761,98304,-16.88222885131836
1724579492.127507,100352,-7.493549346923828
1724579498.075503,102400,-5.349720001220703
1724579504.392121,104448,16.79996109008789
1724579510.501534,106496,14.652935028076172
1724579516.833601,108544,14.44963550567627
1724579523.037477,110592,17.128128051757812
1724579529.0075788,112640,17.7288875579834
1724579535.1934888,114688,30.587392807006836
1724579541.418221,116736,31.933868408203125
1724579547.572146,118784,25.54941749572754
1724579553.595375,120832,20.498205184936523
1724579560.304448,122880,18.059350967407227
1724579568.0888472,124928,7.015700817108154
1724579576.848651,126976,14.48381233215332
1724579584.2797801,129024,15.558310508728027
1724579593.085778,131072,10.426552772521973
1724579601.9319448,133120,1.0468820333480835
1724579613.8422139,135168,7.994940757751465
1724579626.529513,137216,9.184306144714355
1724579635.222539,139264,5.6756062507629395
1724579642.039496,141312,-5.307694911956787
1724579649.566297,143360,-11.01052188873291
1724579656.06403,145408,-9.613995552062988
1724579661.967631,147456,-6.333390235900879
1724579668.151007,149504,7.250541687011719
1724579674.0621881,151552,17.39944076538086
1724579680.2987032,153600,10.564292907714844
1724579686.2463932,155648,23.96405029296875
1724579692.391835,157696,20.0178279876709
1724579698.3641138,159744,19.248958587646484
1724579704.272817,161792,6.783186912536621
1724579710.42522,163840,21.3299617767334
1724579716.378143,165888,22.612382888793945
1724579722.565111,167936,29.101551055908203
1724579728.599421,169984,35.03880310058594
1724579734.626654,172032,29.75692367553711
1724579740.641649,174080,44.37543869018555
1724579746.548519,176128,63.90549850463867
1724579752.722419,178176,70.0364761352539
1724579758.803575,180224,69.72560119628906
1724579764.932341,182272,87.9668197631836
1724579770.849602,184320,76.97952270507812
1724579776.783027,186368,64.59677124023438
1724579782.915992,188416,58.1370735168457
1724579788.915387,190464,64.80115509033203
1724579794.977261,192512,77.989990234375
1724579801.160821,194560,96.6846923828125
1724579807.4245,196608,90.78302764892578
1724579813.83918,198656,97.20616912841797
1724579819.925448,200704,91.46286010742188
1724579826.097624,202752,90.54584503173828
1724579832.376021,204800,102.78863525390625
1724579839.021343,206848,89.41336822509766
1724579845.448648,208896,76.98841094970703
1724579851.502188,210944,65.94091796875
1724579857.8704672,212992,58.735748291015625
1724579864.088456,215040,65.4027099609375
1724579870.187053,217088,61.49909591674805
1724579876.3531,219136,54.42240524291992
1724579882.396209,221184,66.46566009521484
1724579888.523375,223232,72.74040985107422
1724579894.721575,225280,62.63312911987305
1724579900.7874181,227328,67.9394760131836
1724579906.916679,229376,49.37071228027344
1724579912.766509,231424,70.3661117553711
1724579918.9574668,233472,55.99283218383789
1724579924.835904,235520,76.16596984863281
1724579930.751838,237568,75.06397247314453
1724579936.841055,239616,56.69234085083008
1724579943.129764,241664,82.39619445800781
1724579949.31388,243712,86.21928405761719
1724579955.774512,245760,98.81131744384766
1724579962.086356,247808,87.33387756347656
1724579968.4004211,249856,98.98750305175781
1724579974.6594172,251904,93.17369842529297
