Wall time,Step,Value
1724583285.544663,2048,-494.8072509765625
1724583290.4995232,4096,-493.75494384765625
1724583295.434386,6144,-417.0941467285156
1724583300.4040499,8192,-381.2833251953125
1724583305.318298,10240,-331.289794921875
1724583310.230491,12288,-353.49822998046875
1724583315.1149561,14336,-369.42437744140625
1724583320.107414,16384,-315.4857177734375
1724583325.176285,18432,-278.6559143066406
1724583330.278958,20480,-268.41015625
1724583335.260293,22528,-269.75750732421875
1724583340.3054678,24576,-259.0670166015625
1724583345.387369,26624,-249.37451171875
1724583350.44919,28672,-248.78549194335938
1724583355.569619,30720,-230.72129821777344
1724583360.613327,32768,-231.58164978027344
1724583365.7614112,34816,-231.24964904785156
1724583370.937474,36864,-231.2265167236328
1724583376.047261,38912,-229.9173126220703
1724583381.325113,40960,-217.73350524902344
1724583386.639515,43008,-213.4469451904297
1724583392.000641,45056,-218.75604248046875
1724583397.2320309,47104,-202.59130859375
1724583402.601641,49152,-214.44773864746094
1724583407.937715,51200,-186.4656982421875
1724583413.4600692,53248,-169.60694885253906
1724583418.84527,55296,-180.67327880859375
1724583424.300394,57344,-179.9063720703125
1724583429.847062,59392,-167.736328125
1724583435.287755,61440,-159.6825408935547
1724583440.9273942,63488,-141.14962768554688
1724583446.566772,65536,-150.62356567382812
1724583452.1659079,67584,-149.94606018066406
1724583457.716052,69632,-141.79534912109375
1724583463.3756108,71680,-151.99960327148438
1724583469.0428731,73728,-141.8060302734375
1724583474.804897,75776,-152.28163146972656
1724583480.468967,77824,-150.97840881347656
1724583486.048523,79872,-143.04429626464844
1724583491.734459,81920,-143.47589111328125
1724583497.3827012,83968,-117.7009506225586
1724583503.196149,86016,-91.42012786865234
1724583508.954607,88064,-75.82637786865234
1724583514.560714,90112,-54.56471252441406
1724583520.194616,92160,-41.50163650512695
1724583525.8530471,94208,-28.977365493774414
1724583531.702927,96256,-33.01471710205078
1724583537.391905,98304,-35.015865325927734
1724583543.265447,100352,-39.83451843261719
1724583549.2365692,102400,-35.250221252441406
1724583555.24443,104448,-47.600685119628906
1724583561.108566,106496,-37.91636276245117
1724583566.911785,108544,-28.99102020263672
1724583572.823898,110592,-25.665681838989258
1724583578.7994392,112640,-11.848677635192871
1724583584.867269,114688,3.3299474716186523
1724583590.611051,116736,4.063850402832031
1724583596.694758,118784,10.859062194824219
1724583602.465336,120832,9.344795227050781
1724583608.154098,122880,-1.0906113386154175
1724583614.074177,124928,-4.421706676483154
1724583619.869979,126976,-10.523642539978027
1724583626.0431721,129024,-18.038654327392578
1724583632.058037,131072,-31.222942352294922
1724583637.934367,133120,-39.07543182373047
1724583643.581595,135168,-43.48517608642578
1724583649.483001,137216,-56.16351318359375
1724583655.460618,139264,-36.150089263916016
1724583661.518065,141312,-34.50621032714844
1724583667.519499,143360,-32.311161041259766
1724583673.541994,145408,-25.0308780670166
1724583679.419698,147456,-16.111915588378906
1724583685.476641,149504,-13.997632026672363
1724583691.6205702,151552,-15.229255676269531
1724583697.697248,153600,-21.055652618408203
1724583703.695201,155648,-32.31358337402344
1724583709.8074949,157696,-24.48647689819336
1724583715.936895,159744,-4.746469497680664
1724583721.987364,161792,-3.5085525512695312
1724583727.923798,163840,-5.517045974731445
1724583733.7095559,165888,-13.42802619934082
1724583739.649199,167936,0.16740481555461884
1724583745.801103,169984,26.121444702148438
1724583751.8014028,172032,46.77354431152344
1724583757.71464,174080,40.478614807128906
1724583763.5618298,176128,41.06351852416992
1724583769.6148942,178176,36.357784271240234
1724583775.4689238,180224,28.728622436523438
1724583781.44459,182272,35.80687713623047
1724583787.6221418,184320,58.575828552246094
1724583793.6077518,186368,53.57489013671875
1724583799.595724,188416,59.10675048828125
1724583805.710727,190464,79.30397033691406
1724583811.7005272,192512,72.11548614501953
1724583817.685484,194560,65.47537231445312
1724583823.506971,196608,62.95539093017578
1724583829.388056,198656,74.89437103271484
1724583835.372372,200704,89.34371948242188
1724583841.3923998,202752,84.9560546875
1724583847.273659,204800,70.76422119140625
1724583853.2061021,206848,63.34204864501953
1724583859.258065,208896,58.85429000854492
1724583865.372034,210944,59.23552322387695
1724583871.344509,212992,67.45514678955078
1724583877.364516,215040,85.09603881835938
1724583883.361654,217088,66.73075866699219
1724583889.4316108,219136,67.24560546875
1724583895.429161,221184,65.575927734375
1724583901.553636,223232,68.55130767822266
1724583907.605846,225280,56.88018035888672
1724583913.710251,227328,56.742042541503906
1724583919.7513862,229376,53.7138786315918
1724583925.839665,231424,69.94293212890625
1724583931.755093,233472,63.85407257080078
1724583937.936141,235520,62.435829162597656
1724583944.293301,237568,54.71442794799805
1724583950.487954,239616,69.08769989013672
1724583956.3420002,241664,58.7835578918457
1724583962.258643,243712,57.72611999511719
1724583968.1183832,245760,69.23127746582031
1724583974.0553558,247808,65.91466522216797
1724583979.912802,249856,62.437217712402344
1724583985.848084,251904,61.94058609008789
