Wall time,Step,Value
1724587429.3104188,2048,-494.8072509765625
1724587434.2535229,4096,-493.75494384765625
1724587439.191775,6144,-425.6325988769531
1724587444.1085079,8192,-393.4369812011719
1724587449.00441,10240,-347.23876953125
1724587453.951199,12288,-367.03564453125
1724587458.835294,14336,-380.69464111328125
1724587463.8384929,16384,-333.8388366699219
1724587468.877203,18432,-329.9908447265625
1724587473.968957,20480,-340.82574462890625
1724587478.95153,22528,-310.618896484375
1724587483.9979498,24576,-296.8883972167969
1724587489.080472,26624,-276.5614013671875
1724587494.104285,28672,-276.20928955078125
1724587499.186754,30720,-259.96209716796875
1724587504.324663,32768,-260.21820068359375
1724587509.5033338,34816,-258.3260498046875
1724587514.6176991,36864,-257.1858215332031
1724587519.842088,38912,-254.22471618652344
1724587525.232286,40960,-241.49290466308594
1724587530.564896,43008,-234.94549560546875
1724587535.873473,45056,-238.1769256591797
1724587541.304631,47104,-220.06915283203125
1724587546.785697,49152,-227.69244384765625
1724587552.2619789,51200,-201.2788543701172
1724587557.742209,53248,-184.25889587402344
1724587563.180886,55296,-192.27395629882812
1724587568.591074,57344,-176.4447021484375
1724587574.258667,59392,-150.66329956054688
1724587579.682631,61440,-159.83993530273438
1724587585.171911,63488,-152.36465454101562
1724587590.723988,65536,-160.80291748046875
1724587596.2617679,67584,-165.6195526123047
1724587601.658092,69632,-157.95086669921875
1724587607.1875808,71680,-157.86813354492188
1724587612.7514188,73728,-155.21176147460938
1724587618.433429,75776,-156.65223693847656
1724587624.036782,77824,-155.612548828125
1724587629.624981,79872,-155.61619567871094
1724587635.266648,81920,-156.048095703125
1724587640.9370189,83968,-133.31651306152344
1724587646.686563,86016,-111.36078643798828
1724587652.532215,88064,-97.90997314453125
1724587658.2630012,90112,-78.90045166015625
1724587664.0350988,92160,-68.54248046875
1724587669.743721,94208,-53.106224060058594
1724587675.4396071,96256,-60.963523864746094
1724587681.163439,98304,-61.64730453491211
1724587686.836826,100352,-60.364234924316406
1724587692.74382,102400,-55.24604797363281
1724587698.600805,104448,-66.10255432128906
1724587704.454664,106496,-56.57349395751953
1724587710.34082,108544,-47.95071792602539
1724587716.2718878,110592,-44.424720764160156
1724587722.1853151,112640,-25.932416915893555
1724587728.136151,114688,-18.451772689819336
1724587733.9569259,116736,-16.15346336364746
1724587739.88116,118784,-9.921433448791504
1724587745.6601331,120832,-11.24006175994873
1724587751.594238,122880,-19.993257522583008
1724587757.567017,124928,-22.545360565185547
1724587763.431319,126976,-28.969743728637695
1724587769.328566,129024,-35.185943603515625
1724587775.0792809,131072,-48.3768424987793
1724587780.998768,133120,-54.668907165527344
1724587786.883041,135168,-58.91608428955078
1724587792.67599,137216,-69.96519470214844
1724587798.521455,139264,-52.13264083862305
1724587804.3591528,141312,-50.675804138183594
1724587810.285588,143360,-48.26889419555664
1724587816.053938,145408,-41.554786682128906
1724587822.001685,147456,-33.17235565185547
1724587827.8090491,149504,-31.371280670166016
1724587833.83904,151552,-32.69944381713867
1724587839.601033,153600,-37.28064727783203
1724587845.524841,155648,-41.497222900390625
1724587851.598557,157696,-35.723758697509766
1724587857.5036988,159744,-28.407794952392578
1724587863.637426,161792,-22.678085327148438
1724587869.582612,163840,-24.694318771362305
1724587875.4643211,165888,-26.077001571655273
1724587881.394094,167936,-13.961462020874023
1724587887.444052,169984,8.016313552856445
1724587893.3166962,172032,22.013404846191406
1724587899.215991,174080,20.606916427612305
1724587905.214445,176128,15.593263626098633
1724587911.002985,178176,13.818713188171387
1724587917.07183,180224,7.139900207519531
1724587922.9686,182272,14.65234088897705
1724587928.723331,184320,18.9058780670166
1724587934.611074,186368,8.867551803588867
1724587940.649302,188416,18.063608169555664
1724587946.721559,190464,29.507837295532227
1724587952.626911,192512,45.39106750488281
1724587958.5038662,194560,39.534637451171875
1724587964.409833,196608,32.934722900390625
1724587970.257219,198656,37.47261047363281
1724587976.198143,200704,55.845558166503906
1724587982.07508,202752,45.09934616088867
1724587988.164106,204800,39.67947006225586
1724587994.24543,206848,28.229806900024414
1724588000.511262,208896,19.53585433959961
1724588006.819048,210944,19.536537170410156
1724588012.786103,212992,27.633451461791992
1724588018.684244,215040,33.71037292480469
1724588024.464278,217088,37.17205810546875
1724588030.341176,219136,42.62746810913086
1724588036.1548412,221184,39.737674713134766
1724588042.031026,223232,47.76829528808594
1724588047.879489,225280,32.24429702758789
1724588053.754519,227328,31.665536880493164
1724588059.592669,229376,16.6633358001709
1724588065.632822,231424,29.251468658447266
1724588071.474855,233472,29.115976333618164
1724588077.3796768,235520,30.745824813842773
1724588083.146254,237568,23.849323272705078
1724588089.049349,239616,23.29151153564453
1724588094.886507,241664,31.69736099243164
1724588100.737346,243712,24.755117416381836
1724588106.5592709,245760,28.08846092224121
1724588112.3510551,247808,42.07033157348633
1724588118.433255,249856,28.64274024963379
1724588124.3495302,251904,34.593101501464844
