Step,PPO5.2_0,PPO5.2_1,PPO5.2_10,PPO5.2_50,PPO5.2_100
2048,-143.12221,-51.878407,-14.064417,-193.1131,-36.900909
4096,-146.75331,-44.290516,-33.343502,-163.07985,-96.159386
6144,-157.01434,-79.423309,-21.138594,-149.77246,-128.36571
8192,-121.83551,-87.058144,4.79856491,-112.18304,-139.98567
10240,-122.28001,-101.28838,31.2864456,-112.00833,-141.06506
12288,-103.0679,-84.130409,18.4889698,-99.811897,-91.172241
14336,-90.41346,-95.074379,27.4391708,-86.875519,-83.775597
16384,-97.880226,-106.62232,38.1560211,-75.318329,-91.821167
18432,-98.642021,-113.68091,33.4305573,-69.756294,-83.274208
20480,-80.329781,-114.00407,19.284277,-62.355888,-50.932568
22528,-83.225746,-94.369911,10.2229004,-68.884956,-53.891998
24576,-77.623138,-75.719719,0.1420183,-60.681938,-59.5509
26624,-73.356155,-68.898514,-12.495164,-64.998383,-55.955013
28672,-58.879646,-57.195717,-24.406116,-51.981392,-48.083401
30720,-64.494698,-61.24321,-14.558226,-58.93203,-37.452991
32768,-51.942421,-64.135338,-23.074081,-39.86512,-43.861305
34816,-58.488556,-68.078224,-23.308657,-18.656013,-41.955223
36864,-53.075813,-46.215019,-16.494982,-10.435579,-34.560863
38912,-57.875248,-40.247864,-4.563488,-16.622841,-25.291174
40960,-62.288898,-34.198334,-6.8042855,-15.060231,-18.810274
43008,-47.343037,-38.233238,-1.0563277,-10.091566,-16.062708
45056,-52.19957,-31.223537,-5.0005589,-8.786891,-10.940618
47104,-54.264275,-28.913033,-4.109117,-5.385047,9.1295805
49152,-36.517673,-34.188576,-14.789757,-6.0548453,10.9394073
51200,-27.946426,-18.726849,-9.56217,5.76110792,28.9997311
53248,-27.951191,-16.034891,-9.2648811,7.20094252,15.2664585
55296,-22.084583,-3.266331,15.8822479,12.2367258,14.3117542
57344,-27.423164,-0.5705768,0.32734984,7.31129789,14.3476133
59392,-15.567738,13.071044,5.62842941,19.2107143,9.24682713
61440,-3.3642101,32.5840988,4.3210516,25.8028374,9.83146477
63488,-6.5536385,31.0922508,14.7792444,25.1210651,1.08930242
65536,24.0819969,31.646368,21.1806355,36.2033997,6.53931379
67584,35.1741371,38.0407104,34.9081039,34.5946655,18.086956
69632,28.9098034,31.1373806,55.1934624,47.0806808,13.4040012
71680,47.484005,27.8676338,65.9258041,46.7277145,-1.7878333
