Step,PPO5.2_0,PPO5.2_1,PPO5.2_10,PPO5.2_50,PPO5.2_100
73728,47.855381,33.3085709,78.3298645,48.0154495,13.3007479
75776,66.8032608,45.875473,72.5272217,37.402771,22.9868469
77824,66.8012543,40.7253609,66.2052307,32.4336586,17.8822517
79872,81.0743866,25.3209915,68.6351471,24.5248146,15.9968204
81920,68.3920135,26.7783756,62.586792,30.610918,22.9422932
83968,63.5176888,23.0861931,53.8988876,30.7416039,18.443821
86016,81.5974579,42.7009239,49.0723877,33.7679939,28.5499477
88064,82.1622009,41.3998756,51.7890472,28.9794941,24.6280117
90112,97.1951523,40.8169556,50.3378716,36.5570679,43.0487709
92160,97.6855316,32.7725296,45.2141304,45.7706795,33.0243721
94208,103.938377,41.7957916,46.9152107,38.7923851,40.4678307
96256,95.9514847,37.2850685,34.3750992,32.3924904,41.3794518
98304,100.407433,42.3211365,22.0302753,51.9834137,42.8137016
100352,99.8403091,47.54039,24.730875,50.634552,56.8686333
102400,87.5934448,42.9247284,32.3246346,33.8930817,60.0646095
104448,64.0124588,48.1138,28.1827393,38.6559372,68.5400085
106496,59.3678513,40.1195564,33.2999687,37.6228294,61.5331345
108544,65.0571671,46.6731377,26.2012939,32.2290344,79.0624237
110592,45.7259369,44.9994583,24.9544277,30.7505379,90.5617905
112640,46.8228149,43.5361023,14.4957495,26.5887604,93.8372345
114688,35.0494537,47.6080742,23.640501,34.1126518,100.250664
116736,34.0430412,37.3979301,23.6264954,28.6151867,89.3133774
118784,32.5047951,37.259922,30.5156097,28.9377518,82.351059
120832,33.2587585,43.4361458,37.0207176,22.7190094,76.0555115
122880,41.3458786,44.0319977,36.9262352,17.7226868,71.6088715
124928,43.8027496,44.6648636,35.7575188,14.2416286,73.5397873
126976,38.0170708,25.892477,46.7164001,12.803031,65.0328064
129024,31.2575798,33.0399246,44.3691254,0.15590705,58.3007431
131072,31.0891991,34.9302597,48.950386,21.9259796,62.686924
133120,19.7498531,35.4231567,56.6827774,8.99570847,71.0269241
135168,21.3657417,34.6296921,64.3477631,5.40563011,84.196846
137216,31.2067375,40.6211166,50.1246109,13.2134895,82.2724686
139264,22.1884842,42.1036568,54.2367744,14.4831896,80.6294403
141312,17.278698,36.5755043,47.7263947,1.65016973,79.6577225
143360,5.79412556,24.666256,34.2354698,14.2584257,88.1626358
145408,9.54188347,42.24263,58.9905777,21.5005608,87.6978683
147456,15.7473812,41.8678207,67.6555099,11.4511414,80.7834778
149504,16.574173,44.3264542,61.8322144,5.99706316,86.5926514
151552,31.7863846,46.4392128,42.2674217,13.8367882,86.3942032
153600,41.8749161,47.6334686,35.1877899,13.7138786,99.6116028
155648,46.3775597,52.7130966,35.4233894,10.9091339,93.3221436
157696,55.11549,46.8323174,22.0657978,21.1788349,100.187935
159744,65.5582809,48.3657036,13.4661055,21.5444126,103.548866
161792,70.8103714,61.7932739,13.418931,32.7836266,108.441643
163840,63.8458748,56.3765106,39.8932152,39.2523842,104.493263
165888,63.0744019,56.119194,25.2555199,49.5768089,97.7084351
167936,56.6423798,61.6481285,26.5329037,56.5508347,98.6456757
169984,63.0612259,59.8706894,27.2355003,56.3529129,97.4458084
172032,61.287571,61.1613312,22.657547,57.7456512,111.007111
174080,61.7353554,62.4722481,34.4433975,55.7528992,115.834938
176128,48.5750351,67.4469147,46.6488991,54.3420029,120.578819
178176,46.5538177,67.0167999,34.8974648,39.381176,121.740967
180224,60.5130424,68.2959824,35.3354836,28.1557865,118.362556
182272,69.8731842,66.3137741,30.8253345,30.3780174,106.431328
184320,82.018486,55.1835022,23.7501335,19.3386574,114.061447
186368,82.4090195,62.9034576,13.3542318,13.4218454,103.986908
188416,73.0934296,62.8425255,23.1206074,1.8736608,107.160355
190464,59.6748848,63.0127563,42.237915,7.74662685,111.818535
192512,66.7472153,56.9359932,47.8985023,9.29699707,115.936134
194560,53.0280991,87.3564224,50.6875916,14.8212204,111.807877
196608,47.7176628,87.3426132,43.945137,20.5487747,117.184494
198656,42.4541512,72.613945,43.0206833,21.6218472,147.317642
200704,40.7756996,69.840538,43.799778,19.2191181,146.889908
202752,39.6062431,65.6123657,38.8415947,24.1819534,153.372726
204800,46.9972115,47.095459,49.8442955,18.7936192,152.568039
206848,47.7903099,56.7987595,43.0756607,5.64056873,141.100769
208896,35.0838966,63.8836555,41.1146355,5.14395237,131.091965
210944,28.9972267,50.3626404,33.1780014,6.08947945,118.947571
212992,33.8973465,50.0549965,22.7913322,6.40050268,119.228996
215040,41.8291245,44.4882126,25.3053875,24.6608219,128.330673
217088,36.3167343,50.4059982,31.2963467,43.4379234,114.120216
219136,34.6629219,64.2294769,43.7134209,51.1102409,113.286407
221184,34.6825638,64.0674973,36.0006638,90.811264,108.206329
223232,31.7025146,56.0021515,24.8881779,99.60495,116.190109
225280,24.7119598,56.3294258,37.7152824,113.220657,118.211868
227328,33.5705757,41.4148865,45.9802399,113.084229,112.099182
229376,29.0241089,54.4866905,38.993454,105.162689,106.922966
231424,24.127985,52.966053,33.1816063,108.345375,97.6817093
233472,23.9739361,46.3306236,39.7092857,104.09845,86.5435944
235520,18.6643906,46.4691505,59.6641388,93.4405746,68.0282516
237568,31.8790665,61.2123833,69.401474,87.9364471,76.3560867
239616,24.3739414,62.7140083,59.0875511,87.9447098,73.4440689
241664,15.008729,63.3007507,59.8540993,74.4981766,81.3225784
243712,16.2216587,69.2683258,64.8169861,90.6948624,92.8300247
245760,21.3991127,61.9051018,58.9737396,84.116745,85.530777
247808,15.390543,67.9630127,53.3672714,88.1883087,99.3741913
249856,20.4290581,69.5498428,45.9004707,84.2911606,100.08783
251904,33.0619965,81.6726151,42.1989594,73.4785461,114.091339
