Step,PPO5.0_0,PPO5.0_1,PPO5.0_10,PPO5.0_50,PPO5.0_100
96256,-85.143845,-1.3178061,-7.8068299,81.165947,69.1727753
98304,-55.190563,13.5589552,6.80129337,81.5046616,75.0779495
100352,-49.442673,19.0437183,1.81071603,79.4448776,62.3687668
102400,-60.963089,14.9277668,7.25721836,72.445076,60.622776
104448,-47.509846,23.3039703,12.729495,56.8606033,74.8296356
106496,-50.821632,40.9692841,19.4130974,38.1975441,76.1112823
108544,-54.505768,49.8129501,8.19654274,31.0603981,67.0236816
110592,-58.117542,37.8921585,27.6016006,22.5708618,69.8484344
112640,-72.577934,31.453846,33.4309616,4.69748259,53.0756683
114688,-68.840714,24.6682892,24.8763008,30.5923481,50.2377281
116736,-57.12756,30.7414417,32.2456703,46.3494453,44.7705727
118784,-38.124954,18.8620644,25.2862015,39.0286674,40.2644768
120832,-41.911942,13.5325289,25.2399979,26.5385723,27.7577534
122880,-17.687353,3.27759075,27.0799122,16.0028458,41.0532646
124928,-22.008181,11.3696222,34.2314377,0.54627579,45.499321
126976,-19.727879,9.69865704,48.9274101,-4.8551221,45.9777565
129024,-26.164047,17.6164494,36.9322815,3.39500546,55.2604828
131072,-17.188147,7.25251722,50.4414787,34.115242,64.8637695
133120,5.60270452,8.08484077,49.4209404,35.7958527,75.8398895
135168,13.8134546,-3.2255955,48.5483398,47.8410454,68.349411
137216,21.6965199,-1.123745,37.4019585,64.1680069,75.6506958
139264,37.0951729,-7.6697888,44.372963,62.1426468,83.6498871
141312,44.9554825,11.6074734,30.8404388,68.1326294,90.1248779
143360,52.7247353,4.31603193,31.0457687,71.1704102,93.7123566
145408,52.180088,2.80341434,50.90979,77.3823471,81.8038406
147456,37.9191437,-9.6677418,58.4738235,93.3537674,86.8759995
149504,50.2090683,-14.158922,60.3632927,99.3451004,79.3532639
151552,38.7552071,-14.121986,62.278389,80.9920044,78.3244705
153600,30.3015022,7.41947937,73.8196335,74.5477371,80.4792709
155648,29.1460266,25.5263081,75.1234055,68.0920181,88.0051346
157696,27.9143925,26.6531734,78.1411743,77.4628525,75.3018723
159744,36.1766853,36.5823593,88.2067413,76.1208496,75.8279572
161792,37.759594,36.2489433,98.9968185,74.1567535,81.2643204
163840,37.928978,37.0910606,84.5993118,74.3888016,86.905983
165888,41.2610207,41.3846664,84.7264328,76.9922638,76.0554733
167936,39.97715,54.3061829,98.067131,71.4363556,73.5827026
169984,35.4012871,65.1910172,110.638412,54.4173775,81.5794296
172032,22.7207451,64.1733246,120.866516,49.1129799,75.2935562
174080,18.244688,53.1344566,138.904175,57.7548714,63.7032433
176128,10.9344254,44.7437973,132.69603,49.6017609,56.0030098
178176,9.80440331,46.3398819,139.073563,56.3056755,37.3066902
180224,4.90742493,48.7042694,132.546387,53.2346191,28.9782295
182272,5.57416058,42.1976433,121.055313,53.502655,23.7944202
184320,6.6313138,36.9242401,111.239311,50.8155632,16.5625992
186368,21.803648,29.6105824,111.437477,36.8395195,16.3121262
188416,14.463274,42.7027359,101.298653,32.8838158,15.408432
190464,16.438076,36.9553223,96.3435669,44.4552956,21.2445374
192512,28.6528645,25.4537411,92.0678329,40.5345764,23.4794998
194560,29.7271385,25.5444145,84.8007431,35.6545181,17.0562572
196608,17.1987247,18.6003304,73.0452957,35.5179291,9.45499134
198656,9.97004032,6.71330452,73.626091,33.984127,2.05825019
200704,8.615592,1.35419393,57.4842567,39.4677353,20.3615036
202752,16.4799633,15.1519909,59.7067947,37.4677315,23.6834946
204800,10.0461111,20.8475666,58.8263931,33.6459961,30.7204208
206848,4.60229731,20.7611465,40.3224411,32.266346,24.9091377
208896,-2.5568004,21.6013031,22.374588,30.1058846,24.2847195
210944,3.23334384,14.4393473,21.9346504,35.1934814,31.0929565
212992,-4.3866525,15.1179152,9.11936188,23.9447365,31.5401478
215040,-1.5083543,28.912405,-3.7230115,12.0336332,39.0669785
217088,2.40407109,35.9278946,-9.4453831,15.2209759,47.8871651
219136,-3.7798045,36.05933,-7.8644404,9.06996155,54.8452911
221184,0.45927748,49.5440903,-26.321047,10.3479881,60.7165108
223232,3.3077333,57.96661,-25.359322,9.51274586,72.829834
225280,1.78846014,45.3119354,-19.857615,3.80068111,78.0572357
227328,16.1525097,52.1427307,-28.084583,15.974205,71.4014664
229376,13.8708897,53.0050049,-10.015413,15.3502016,77.279335
231424,7.86469603,47.301342,3.6090827,5.39454412,82.5839462
233472,7.60551643,40.154995,1.45182502,13.342452,78.9364243
235520,12.8549385,65.0230026,8.03267002,16.6261292,80.5135117
237568,20.7157898,66.41819,3.40995979,14.1436281,79.2836761
239616,16.0184307,60.0591431,9.66033268,7.3876462,82.7978058
241664,8.52309132,67.3818359,9.86482143,6.35307026,71.4378433
243712,5.74655914,62.445179,2.97695756,7.69653082,63.8978119
245760,23.9073658,54.6177521,3.52137494,3.33398604,68.977623
247808,26.8229694,48.5234795,15.609396,4.53025055,57.1595268
249856,42.1899872,49.5622101,10.508729,7.11128712,49.415184
251904,41.2046547,50.4950333,35.304985,1.01875162,56.2105484
