Step,PPO5.0_0,PPO5.0_1,PPO5.0_10,PPO5.0_50,PPO5.0_100
2048,-282.06174,-325.25388,75.0031815,60.0073357,-165.30663
4096,-387.48889,-406.92084,-27.406332,-21.913391,-153.53801
6144,-425.01334,-256.14325,40.7716446,-69.103752,-151.11069
8192,-296.48352,-306.83151,-4.0896945,-87.319801,-163.4268
10240,-297.97961,-304.48575,13.3172245,-101.64864,-137.06815
12288,-324.45303,-301.94318,4.58498383,-117.31892,-148.46539
14336,-319.03244,-323.53278,-16.0805,-118.57976,-111.4714
16384,-315.85965,-286.12384,-35.000401,-103.71617,-83.370285
18432,-334.5014,-303.02905,-47.764503,-106.86357,-74.927734
20480,-345.68652,-293.64755,-31.711634,-109.03175,-72.545456
22528,-293.72269,-276.14331,-31.102591,-115.4911,-46.679123
24576,-304.70154,-291.02426,-29.593403,-105.10903,-50.261227
26624,-278.77203,-301.41055,-38.145443,-108.49059,-36.699974
28672,-250.3907,-309.9263,-36.165562,-112.3628,-36.259441
30720,-260.98392,-316.38358,-43.958858,-94.768036,-37.14246
32768,-242.31023,-321.55511,-21.809572,-91.327316,-37.987694
34816,-243.97147,-314.82178,-28.430161,-86.688263,-35.724079
36864,-239.40271,-281.08032,-27.449671,-81.738754,-33.283112
38912,-247.56264,-284.9231,-27.724543,-85.521866,-10.202106
40960,-234.34625,-264.28403,-14.935028,-88.959343,-6.398242
43008,-214.78952,-250.81218,-12.42912,-84.107346,-5.0538421
45056,-202.32248,-226.37878,-14.708302,-80.387672,-4.4395294
47104,-202.43251,-219.66109,-12.248738,-77.82164,-5.6863098
49152,-219.32135,-211.3425,-6.3400397,-52.447479,-4.1009426
51200,-215.31581,-193.82077,-0.3138753,-40.3563,-1.5058659
53248,-211.35522,-175.2558,-4.3775249,-38.979614,24.1140327
55296,-207.35735,-155.57098,-4.1911092,-14.049737,13.2734423
57344,-201.39903,-151.93428,4.03179073,-12.500878,8.13557434
59392,-195.99667,-148.92096,7.07818794,-6.5606251,2.1696167
61440,-191.08728,-147.83888,0.17414016,-2.9703586,14.7779493
63488,-193.11998,-130.30586,0.81537831,16.7534485,11.0283833
65536,-187.59946,-103.54603,3.9443562,39.813961,9.43462849
67584,-190.16881,-75.936089,-3.9383473,55.2102242,6.38318348
69632,-196.87874,-60.744938,8.87242794,75.3318405,17.6333084
71680,-147.37115,-46.042652,5.2355957,82.5131073,23.3135929
73728,-146.99448,-48.391663,18.3061218,82.8485413,48.6106987
75776,-148.28763,-33.316422,4.89178944,74.7439117,47.3380127
77824,-144.95523,-26.409866,6.15871382,83.3953247,52.6706429
79872,-143.4939,-35.116714,11.3419485,100.14695,53.4055099
81920,-134.99069,-28.970381,10.5447998,118.542915,54.6477509
83968,-142.35896,-6.8297186,11.0119858,123.15554,61.7553558
86016,-135.77345,-1.762158,-3.5013494,105.252251,64.0551758
88064,-115.60722,-4.6967525,1.07736969,99.9085693,69.2885437
90112,-114.32496,-8.8437452,5.47275066,94.7518997,66.0050659
92160,-98.649162,-21.53651,-6.8179498,83.9199371,62.0248871
94208,-83.155533,-17.247713,-5.4216523,82.4898071,60.2241364
