Step,PPO5.3_0,PPO5.3_1,PPO5.3_10,PPO5.3_50,PPO5.3_100
212992,-11.382106,34.9133034,23.3023949,-18.103058,18.8173733
215040,-10.478801,30.4939785,24.6773319,-1.0610188,7.59015656
217088,-13.947434,36.2297745,36.0839767,27.035553,-4.4412017
219136,-12.822784,48.2747765,40.1481094,31.6071568,-10.972239
221184,-2.59585,49.8755188,36.1343346,61.6005173,-18.068277
223232,-1.5838368,42.2485008,31.2722969,82.8649597,-13.237184
225280,-5.369895,38.4092903,47.22509,81.4416275,1.88501179
227328,-11.775043,38.263752,64.1948166,86.2216568,0.99015898
229376,-21.661779,44.644249,58.6057625,81.4431686,-9.3718061
231424,-19.13073,31.1508732,57.4353905,76.1218567,-0.5636103
233472,-14.391571,27.1215363,66.7768784,68.2813873,-5.3195019
235520,-25.31929,28.8994217,71.3431854,74.4862595,-10.082843
237568,-29.49556,35.7698135,67.7233276,69.8910522,-13.323312
239616,-27.527655,31.2102013,69.395668,64.3746796,-24.206749
241664,-31.864946,46.253231,71.065567,63.239357,-16.272814
243712,-42.736156,50.4282265,71.095932,74.2305908,-16.329044
245760,-31.227905,51.6176262,65.0049362,68.6331558,-18.731295
247808,-32.088871,77.8232269,61.0762596,64.0140305,-6.9325953
249856,-33.770813,74.8418198,53.2115288,64.1019135,-3.5678618
251904,-23.270954,68.4177933,46.2217979,58.3528328,-2.3816714
