Step,PPO5.3_0,PPO5.3_1,PPO5.3_10,PPO5.3_50,PPO5.3_100
2048,-143.12221,-77.278404,-39.464417,-193.1131,-62.300911
4096,-146.75331,-69.285553,-103.41708,-163.07985,-110.06796
6144,-157.01434,-97.390297,-76.844658,-149.77246,-137.97035
8192,-126.08551,-100.93655,-40.196415,-119.65363,-146.98163
10240,-125.56037,-112.89825,-19.764727,-117.827,-146.6301
12288,-107.53639,-95.884819,-20.701498,-109.26614,-88.205177
14336,-95.801453,-105.56742,-7.4269009,-96.271515,-78.507339
16384,-103.51945,-101.83796,-9.1028891,-90.979073,-71.60405
18432,-103.49117,-111.63368,-15.689433,-97.762787,-82.713547
20480,-98.213913,-112.91029,-23.43383,-79.883423,-68.596672
22528,-95.596519,-97.843536,-28.066181,-83.004311,-70.904358
24576,-91.314667,-90.812622,-26.522152,-75.083588,-76.673042
26624,-95.294464,-84.672501,-32.810425,-78.80452,-65.261711
28672,-84.315483,-74.195107,-35.898819,-66.592873,-45.752632
30720,-89.745712,-71.275169,-28.417263,-66.45742,-50.470604
32768,-92.293419,-74.468979,-35.19709,-56.24353,-55.133339
34816,-98.998802,-77.634964,-34.972931,-39.34774,-55.6437
36864,-91.296616,-63.573147,-28.816751,-41.846577,-54.633888
38912,-94.893021,-64.62812,-13.492469,-46.587883,-41.563782
40960,-97.918411,-54.697266,-15.316607,-39.514606,-35.285046
43008,-87.745934,-52.450447,-6.0795178,-39.647068,-35.030331
45056,-91.020149,-48.726246,-12.77489,-38.858139,-34.775665
47104,-93.340599,-46.898003,-12.558709,-31.52486,-24.625402
49152,-86.903419,-50.908356,-17.231293,-26.761053,-22.105419
51200,-84.541832,-43.513035,-7.9545746,-16.725134,-11.382568
53248,-78.937447,-40.813828,-13.135261,-12.487653,-18.297581
55296,-78.888641,-29.586914,-2.4465239,-12.36366,-24.837954
57344,-79.081635,-16.348896,-5.9002056,-15.540159,-24.502623
59392,-73.921509,-12.588941,-11.313078,0.38301289,-19.426283
61440,-66.388649,-6.6869121,-12.382504,18.3372288,-24.654821
63488,-61.331493,3.10089064,-5.8445277,13.909874,-18.426722
65536,-61.342087,2.41135144,-3.0911663,27.1556721,-11.917822
67584,-58.279095,7.47883415,-7.2867622,31.8453121,-16.134098
69632,-58.704704,1.6408906,0.16541126,26.2633896,-15.887206
71680,-47.314587,-0.8714908,10.9782438,23.9629574,-23.53121
73728,-38.81987,4.86205816,5.70919323,22.5919075,-10.907561
75776,-27.484123,15.2109947,6.46844769,25.5168324,-6.80023
77824,-19.27581,11.1171045,10.9307594,24.488966,-5.1407342
79872,-22.658554,6.84016037,-3.9141324,30.1275501,-12.665387
81920,-12.239804,4.6329608,-4.4193649,24.7530708,-1.8913108
83968,-16.823702,9.5525341,-14.964361,20.6670876,1.06167746
86016,-6.4320226,32.9667702,-25.398968,28.1019707,13.0475531
88064,3.31455445,26.3493137,-25.140375,25.2324276,27.4869137
90112,0.60655779,49.0785103,-21.961954,32.7020454,34.109745
92160,3.21450019,47.8635445,-20.226397,22.8008785,45.4479561
94208,1.98387635,36.7017174,-27.753731,22.2510262,48.2983932
96256,4.83388948,37.219677,-16.744179,28.1178532,55.7258377
98304,5.19639158,52.4467468,-22.606449,37.3290863,51.2303963
100352,1.55173647,42.6371727,-33.867195,32.9633484,58.8490372
102400,11.4403372,49.1405029,-25.167988,27.8726559,57.6430054
104448,13.4354219,43.0084953,-22.193413,21.7100792,63.7006187
106496,8.53092289,38.1811485,-21.768433,16.8356533,66.5111847
108544,11.6762009,46.4375458,-16.908155,6.66653824,78.4330063
110592,8.42800045,45.1376266,-0.4666161,14.7130651,77.8518448
112640,7.54146338,48.1784744,-10.291261,15.9836073,83.7021027
114688,13.6235685,44.0729141,-3.249228,19.259531,84.9298096
116736,6.38822937,43.8637199,-3.228864,10.1783657,80.0196915
118784,3.80916715,38.4977875,-7.3644233,13.7656765,73.2544403
120832,5.82516193,40.1922073,-6.694046,4.12224245,74.2903214
122880,10.7429152,25.3203011,-10.769626,4.33346701,60.17556
124928,11.2057533,21.2823296,-4.8689818,1.90813136,60.3721962
126976,11.2828846,26.1525707,6.08923674,-0.9704095,48.2325096
129024,9.64725971,27.1268044,4.97647858,-11.703444,60.3712845
131072,21.0655251,27.004034,8.57503891,0.67257345,57.9400711
133120,20.1090355,20.8641376,23.0068436,-4.8557258,53.5079765
135168,25.9297066,11.2279873,29.3615913,-8.3516121,59.7406006
137216,30.8038025,24.7191677,25.6668739,-0.9158037,57.873291
139264,30.7072601,21.0945091,26.5595131,1.33945167,46.9017334
141312,15.3670263,22.0461845,22.4664021,-12.300042,44.1941299
143360,5.62222958,18.5492287,21.1450443,-13.04435,46.3500214
145408,8.11603451,31.735527,25.5562668,-0.5510501,53.6837616
147456,8.78818989,31.1458931,37.87397,-9.9420624,42.5286331
149504,9.61644936,33.8456421,33.6291466,-15.633308,44.3288536
151552,21.7845764,25.4878502,26.8876247,-15.382195,33.6791344
153600,24.3202744,26.9215698,16.8769226,-7.6701465,41.5026093
155648,13.3042049,35.0254707,15.7322645,-4.225944,36.2919006
157696,12.497817,34.9793396,16.093195,5.46637392,37.7310829
159744,19.6529484,36.3798599,12.9667015,-0.1795176,40.4356194
161792,14.6406631,47.3509521,13.8733187,20.8977184,38.0409126
163840,8.30744839,39.4119911,26.3957062,25.8379478,33.6272545
165888,7.98198318,32.0195732,15.2650042,33.2631912,33.4773216
167936,-3.4284685,32.4554596,20.8941498,31.597044,18.6040668
169984,6.50032616,25.7944508,25.0541592,31.6071491,11.8071117
172032,-2.9377677,21.5751667,22.4902859,37.8569221,19.139822
174080,-3.3072078,23.5517426,33.4675026,36.9083672,22.203352
176128,-11.860653,23.3978062,44.5543938,24.0731487,33.9852753
178176,-10.482293,28.612608,40.370018,9.76872444,36.8368225
180224,-13.822914,23.3521919,41.7907753,13.1824102,39.8954582
182272,-10.750929,22.4487514,42.5306892,-2.3110101,26.7785664
184320,6.63595009,23.6159439,37.9405479,-2.8001361,25.5935173
186368,7.99935627,22.3425293,34.9940643,-11.636449,11.992053
188416,0.70809859,24.1056805,43.364872,-12.670148,20.7377262
190464,0.14139993,21.8623257,50.0192413,-11.05871,8.38702011
192512,4.64334345,16.706152,56.1035995,-3.2726555,13.5085411
194560,-7.6975627,31.6930981,53.2872696,-9.0422306,5.84725952
196608,-3.3222883,37.1786156,53.884079,-14.780766,26.0345345
198656,-3.399431,35.8464088,52.0043983,-7.4058666,17.6355171
200704,-4.2792659,32.273407,52.0742569,-7.0977769,29.0749397
202752,-10.135311,36.4350929,52.4696846,-12.667441,29.7827892
204800,-9.6928787,37.6779747,57.1118813,-13.278166,29.6893063
206848,-9.5371418,30.0551643,46.5194321,-14.941527,24.2424202
208896,-13.116407,36.0744095,43.9449081,-14.18122,25.5403996
210944,-8.5350876,35.7575455,32.7996979,-11.496874,24.1896477
